Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
114410,platform/eclipse.platform.ui,102,[114410],"[114410, 255357]","['bundles/org.eclipse.core.databinding.observable/META-INF/MANIFEST.MF', 'bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/list/ComputedList.java', 'bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/set/ComputedSet.java', 'bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/value/ComputedValue.java', 'tests/org.eclipse.jface.tests.databinding/src/org/eclipse/core/tests/databinding/observable/list/ComputedListTest.java', 'tests/org.eclipse.jface.tests.databinding/src/org/eclipse/core/tests/databinding/observable/set/ComputedSetTest.java', 'tests/org.eclipse.jface.tests.databinding/src/org/eclipse/core/tests/databinding/observable/value/ComputedValueTest.java', 'tests/org.eclipse.jface.tests.databinding/META-INF/MANIFEST.MF', 'tests/org.eclipse.jface.tests.databinding/pom.xml']",Bug 577989 - Add ComputedList/Set.create,closed
278157,pde/eclipse.pde.ui,39,[1093],"[1093, 255268]","['ui/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/feature/FeatureChild.java', 'ui/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ifeature/IFeatureChild.java']",Bug 577999 - Remove unused property 'match' of FeatureChild,closed
4,jgit/jgit,9,[241953],[241953],"['ui/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/feature/FeatureChild.java', 'ui/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ifeature/IFeatureChild.java']",Don't use deprecated Repository#getAllRefs in Repository,new
4,jgit/jgit,11,[241953],[241953],"['ui/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/feature/FeatureChild.java', 'ui/org.eclipse.pde.core/src/org/eclipse/pde/internal/core/ifeature/IFeatureChild.java']",Don't use deprecated Repository#getAllRefs in FileRepository,new
4,jgit/jgit,67,"[4, 951]","[4, 951, 241953]",[],Merge branch 'master' into next,closed
97483,jgit/jgit,67,"[4, 951]","[4, 951, 241953]",[],Merge branch 'stable-6.0',closed
97483,jgit/jgit,67,"[4, 951]","[4, 951, 241953]",[],Merge branch 'stable-5.13' into stable-6.0,closed
97483,jgit/jgit,67,[951],"[4, 951, 241953]",[],Merge branch 'stable-5.12' into stable-5.13,closed
97483,jgit/jgit,67,[951],"[4, 951, 241953]",[],Merge branch 'stable-5.11' into stable-5.12,closed
97483,jgit/jgit,67,"[4, 951]","[4, 951, 241953]",['org.eclipse.jgit.test/tst/org/eclipse/jgit/storage/file/FileBasedConfigTest.java'],Merge branch 'stable-5.10' into stable-5.11,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.9' into stable-5.10,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.8' into stable-5.9,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.7' into stable-5.8,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.6' into stable-5.7,closed
97483,jgit/jgit,67,[4],"[4, 241953]",['org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/file/LockFile.java'],Merge branch 'stable-5.5' into stable-5.6,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.4' into stable-5.5,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.3' into stable-5.4,closed
97483,jgit/jgit,67,[4],"[4, 241953]",[],Merge branch 'stable-5.2' into stable-5.3,closed
97483,jgit/jgit,67,[4],"[4, 241953]",['org.eclipse.jgit.test/tst/org/eclipse/jgit/storage/file/FileBasedConfigTest.java'],Merge branch 'stable-5.1' into stable-5.2,closed
1684,jgit/jgit,512,[241953],[241953],['org.eclipse.jgit.test/tst/org/eclipse/jgit/storage/file/FileBasedConfigTest.java'],Bump jetty version to 11.0.7,new
1684,jgit/jgit,125,"[4, 44628, 241953]","[4, 44628, 241953]",['org.eclipse.jgit.test/tst/org/eclipse/jgit/storage/file/FileBasedConfigTest.java'],Bazel: Switch to using toolchain resolution for java rules,new
97483,jgit/jgit,67,"[4, 1684]","[4, 1684, 44628, 241953]","['org.eclipse.jgit.test/tst/org/eclipse/jgit/storage/file/FileBasedConfigTest.java', 'org.eclipse.jgit/src/org/eclipse/jgit/internal/storage/file/LockFile.java', 'org.eclipse.jgit/src/org/eclipse/jgit/storage/file/FileBasedConfig.java']",Use FileSnapshot without using configs for FileBasedConfig,closed
44628,egit/egit,4,[44628],"[44628, 235386]","['org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/fetch/AbstractFetchFromHostPage.java', 'org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/uitext.properties']",[fetch pr] Simplify tooltip message construction,closed
44628,egit/egit,36,[44628],"[44628, 235386]","['org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/history/GenerateHistoryJob.java', 'org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/history/GitHistoryPage.java']",[history] Fix incremental loading: reduce number of spawned jobs,closed
119988,platform/eclipse.platform.text,9,[1179],"[1179, 255357]",['org.eclipse.jface.text/src/org/eclipse/jface/internal/text/source/DiffPainter.java'],Bug 577993 - SWT disposed exception in DiffPainter,closed
